,Location,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,Real Rooms
2909,"Mont Kiara, Kuala Lumpur",226800.0,3.0,2.0,Residence,"Built-up : 1,678 sq. ft.",Fully Furnished,3
2910,"Mont Kiara, Kuala Lumpur",399000.0,5.0,3.0,Condo,"Built-up : 2,535 sq. ft.",Fully Furnished,4
2911,"Mont Kiara, Kuala Lumpur",399000.0,5.0,3.0,Condo,"Built-up : 2,535 sq. ft.",Fully Furnished,4
2912,"Mont Kiara, Kuala Lumpur",409500.0,5.0,3.0,Condo,"Built-up : 2,700 sq. ft.",Fully Furnished,4
2913,"KLCC, Kuala Lumpur",180600.0,1.0,1.0,Residence,Built-up : 473 sq. ft.,Fully Furnished,1
2914,"KLCC, Kuala Lumpur",273000.0,2.0,1.0,Residence,Built-up : 800 sq. ft.,Fully Furnished,2
2916,"Bukit Jalil, Kuala Lumpur",411600.0,7.0,2.0,Terrace/Link,Land area : 23' x 85' sq. ft.,Fully Furnished,7
2917,"Bukit Jalil, Kuala Lumpur",375900.0,4.0,2.0,Terrace/Link,Land area : 23 X 80 sq.ft. sq. ft.,Fully Furnished,5
2919,"Bukit Jalil, Kuala Lumpur",640500.0,6.0,2.0,Others,Land area : 47' X 87' sq. ft.,Unfurnished,7
2920,"Mont Kiara, Kuala Lumpur",315504.0,4.0,2.0,Condo,"Built-up : 1,878 sq. ft.",Partly Furnished,4
2921,"Bukit Jalil, Kuala Lumpur",279300.0,5.0,2.0,Terrace/Link,Land area : 22x75 sq. ft.,Partly Furnished,6
2922,"KL Sentral, Kuala Lumpur",378000.0,2.0,1.0,Residence,"Built-up : 1,485 sq. ft.",Partly Furnished,2
2923,"Mont Kiara, Kuala Lumpur",336000.0,4.0,2.0,Condo,"Built-up : 1,605 sq. ft.",Partly Furnished,4
2925,"Mont Kiara, Kuala Lumpur",453669.08999999997,5.0,3.0,Condo,"Built-up : 2,766 sq. ft.",Partly Furnished,4
2926,"Mont Kiara, Kuala Lumpur",382906.86,5.0,3.0,Condo,"Built-up : 2,163 sq. ft.",Partly Furnished,4
2927,"Mont Kiara, Kuala Lumpur",274207.5,3.0,2.0,Condo,"Built-up : 1,377 sq. ft.",Partly Furnished,3
2928,"Dutamas, Kuala Lumpur",262500.0,5.0,2.0,Condo,"Built-up : 2,084 sq. ft.",Partly Furnished,4
2929,"Kepong, Kuala Lumpur",142380.0,2.0,4.0,Terrace/Link,Land area : 22x80 sq. ft.,Unfurnished,3
2930,"Taman Melawati, Kuala Lumpur",493500.0,5.0,4.0,Terrace/Link,Land area : 26x82 sq. ft.,Partly Furnished,5
2931,"Damansara Heights, Kuala Lumpur",2730000.0,6.0,6.0,Bungalow,Land area : 12300 sq. ft.,Partly Furnished,7
2932,"Dutamas, Kuala Lumpur",272580.0,4.0,2.0,Condo,"Built-up : 2,700 sq. ft.",Partly Furnished,5
2934,"Sungai Besi, Kuala Lumpur",109200.0,2.0,2.0,Condo,Built-up : 935 sq. ft.,Partly Furnished,3
2936,"Kepong, Kuala Lumpur",270480.0,4.0,4.0,Terrace/Link,Land area : 45x70 sq. ft.,Partly Furnished,5
2937,"Jalan Kuching, Kuala Lumpur",247800.0,5.0,4.0,Terrace/Link,Land area : 24x80 sq. ft.,Partly Furnished,5
2938,"Kepong, Kuala Lumpur",262500.0,4.0,4.0,Terrace/Link,Land area : 22x85 sq. ft.,Partly Furnished,5
2939,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",112980.0,2.0,2.0,Residence,"Built-up : 1,270 sq. ft.",Fully Furnished,1
2941,"Bangsar South, Kuala Lumpur",241500.0,2.0,2.0,Condo,"Built-up : 1,485 sq. ft.",Fully Furnished,3
2943,"Bukit Jalil, Kuala Lumpur",111300.0,3.0,2.0,Condo,"Built-up : 1,003 sq. ft.",Partly Furnished,3
2944,"Sunway SPK, Kuala Lumpur",268800.0,4.0,2.0,Others,Land area : 26x87 sq. ft.,Unfurnished,4
2945,"Sunway SPK, Kuala Lumpur",415800.0,4.0,2.0,Terrace/Link,Land area : 32x75 sq. ft.,Partly Furnished,4
2949,"Cheras, Kuala Lumpur",140280.0,3.0,6.0,Terrace/Link,Land area : 20x75(1500sf) sq. ft.,Unfurnished,5
2950,"Desa ParkCity, Kuala Lumpur",173880.0,1.0,1.0,Condo,Land area : 969 sq. ft.,Fully Furnished,2
2951,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",139650.0,2.0,2.0,Terrace/Link,Land area : 22x75 sq. ft.,Partly Furnished,3
2952,"Wangsa Maju, Kuala Lumpur",94500.0,2.0,2.0,Residence,Built-up : 830 sq. ft.,Partly Furnished,2
2956,"KLCC, Kuala Lumpur",567000.0,2.0,2.0,Residence,"Built-up : 1,463 sq. ft.",Fully Furnished,3
2958,"Jalan Kuching, Kuala Lumpur",86100.0,2.0,1.0,Condo,"Built-up : 1,050 sq. ft.",Partly Furnished,3
2959,"Jalan Kuching, Kuala Lumpur",115500.0,2.0,2.0,Condo,"Built-up : 1,200 sq. ft.",Partly Furnished,4
2962,"Kepong, Kuala Lumpur",121800.0,2.0,3.0,Terrace/Link,Land area : 130. sq. ft.,Fully Furnished,3
2963,"Kepong, Kuala Lumpur",121800.0,2.0,2.0,Residence,Land area : 1162 sq. ft.,Partly Furnished,4
2964,"KL Sentral, Kuala Lumpur",378000.0,2.0,1.0,Residence,"Built-up : 1,399 sq. ft.",Fully Furnished,3
2966,"KL Sentral, Kuala Lumpur",315000.0,2.0,1.0,Residence,"Built-up : 1,259 sq. ft.",Fully Furnished,2
2969,"KL Sentral, Kuala Lumpur",417900.0,4.0,1.0,Residence,"Built-up : 1,485 sq. ft.",Fully Furnished,3
2970,"KL Sentral, Kuala Lumpur",903000.0,6.0,4.0,Residence,"Built-up : 2,982 sq. ft.",Partly Furnished,5
2971,"Sentul, Kuala Lumpur",104580.0,2.0,1.0,Residence,Built-up : 984 sq. ft.,Partly Furnished,3
2972,"KL Sentral, Kuala Lumpur",273000.0,3.0,2.0,Condo,"Built-up : 1,540 sq. ft.",Partly Furnished,3
2974,"Mont Kiara, Kuala Lumpur",390600.0,4.0,2.0,Condo,"Built-up : 2,070 sq. ft.",Partly Furnished,4
2975,"Mont Kiara, Kuala Lumpur",361200.0,4.0,2.0,Condo,"Built-up : 2,020 sq. ft.",Partly Furnished,4
2977,"Damansara Heights, Kuala Lumpur",672000.0,6.0,2.0,Terrace/Link,Land area : 22x81 sq. ft.,Partly Furnished,6
2982,"Damansara Heights, Kuala Lumpur",861000.0,5.0,5.0,Bungalow,Land area : 6144 sq. ft.,Partly Furnished,7
2992,"Pantai, Kuala Lumpur",140700.0,2.0,1.0,Residence,Built-up : 876 sq. ft.,Partly Furnished,1
2994,"KL Sentral, Kuala Lumpur",441000.0,2.0,1.0,Residence,Built-up : 825 sq. ft.,Partly Furnished,1
2995,"KL Sentral, Kuala Lumpur",1094940.0,4.0,1.0,Residence,"Built-up : 1,738 sq. ft.",Partly Furnished,3
2996,"Bangsar, Kuala Lumpur",1890000.0,6.0,3.0,Condo,"Built-up : 4,771 sq. ft.",Unfurnished,6
2997,"Bangsar, Kuala Lumpur",1575000.0,6.0,3.0,Condo,"Built-up : 4,025 sq. ft.",Unfurnished,5
2998,"Bangsar, Kuala Lumpur",2205000.0,7.0,6.0,Condo,"Built-up : 6,913 sq. ft.",Partly Furnished,6
2999,"Bangsar, Kuala Lumpur",1890000.0,6.0,6.0,Bungalow,Land area : 13000 sq. ft.,Partly Furnished,6
3000,"Mont Kiara, Kuala Lumpur",903000.0,6.0,4.0,Others,Land area : 4500 sq. ft.,Fully Furnished,7
3001,"Mont Kiara, Kuala Lumpur",892500.0,6.0,4.0,Others,Land area : 3100 sq. ft.,Partly Furnished,7
3002,"Sri Hartamas, Kuala Lumpur",588000.0,5.0,4.0,Others,Land area : 4300 sq. ft.,Partly Furnished,6
3003,"Sri Hartamas, Kuala Lumpur",672000.0,6.0,4.0,Others,Land area : 2850 sq. ft.,Partly Furnished,5
